,target
355,[0.178925]
356,[0.225055]
357,[0.364205]
358,[0.02758]
359,[0.08084]
360,[0.073785]
361,[0.113835]
362,[0.18256]
363,[0.020965]
364,[0.057285]
365,[0.14538]
366,[0.170375]
367,[0.08017]
368,[0.14903]
369,[0.09383]
370,[0.049145]
371,[0.2862]
372,[0.15723]
373,[0.25727]
374,[0.154485]
375,[0.075665]
376,[0.22585]
377,[0.227075]
378,[0.170435]
379,[0.04867]
380,[0.15255]
381,[0.10837]
382,[0.21018]
383,[0.03695]
384,[0.13272]
385,[0.145725]
386,[0.141555]
387,[0.123265]
388,[0.06192]
389,[0.073335]
390,[0.10503]
391,[0.261265]
392,[0.08385]
393,[0.059655]
394,[0.212585]
395,[0.143195]
396,[0.17828]
397,[0.361305]
398,[0.2362]
399,[0.041465]
400,[0.19407]
401,[0.30152]
402,[0.233725]
403,[0.249115]
404,[0.095545]
405,[0.23531]
406,[0.073965]
407,[0.1]
408,[0.13274]
409,[0.216275]
410,[0.208115]
411,[0.09888]
412,[0.155635]
413,[0.19154]
414,[0.108685]
415,[0.11685]
416,[0.284475]
417,[0.04845]
418,[0.167535]
419,[0.10587]
420,[0.28459]
421,[0.12716]
422,[0.25023]
423,[0.162695]
424,[0.141295]
425,[0.231865]
426,[0.165995]
427,[0.235345]
428,[0.172265]
429,[0.153405]
430,[0.25168]
431,[0.135985]
432,[0.227785]
433,[0.06613]
434,[0.074645]
435,[0.13634]
436,[0.23692]
437,[0.09913]
438,[0.023765]
439,[0.24952]
440,[0.14498]
441,[0.281]
442,[0.08806]
443,[0.14354]
444,[0.19474]
445,[0.03199]
446,[0.12842]
447,[0.0665]
448,[0.1412]
449,[0.083615]
450,[0.037495]
451,[0.23722]
452,[0.229775]
453,[0.175095]
454,[0.086925]
455,[0.31676]
456,[0.22969]
457,[0.19123]
458,[0.06381]
459,[0.200455]
460,[0.137455]
461,[0.25328]
462,[0.214725]
463,[0.138105]
464,[0.15305]
465,[0.117525]
466,[0.04564]
467,[0.19827]
468,[0.04934]
469,[0.15562]
470,[0.2162]
471,[0.12196]
472,[0.104685]
473,[0.18472]
474,[0.109035]
475,[0.042025]
476,[0.015525]
477,[0.14039]
478,[0.08314]
479,[0.106835]
480,[0.14979]
481,[0.01864]
482,[0.28388]
483,[0.159875]
484,[0.105665]
485,[0.20355]
486,[0.080055]
487,[0.1322]
488,[0.16452]
489,[0.3792]
490,[0.24384]
491,[0.19276]
492,[0.273805]
493,[0.281225]
494,[0.11479]
495,[0.14594]
496,[0.08184]
497,[0.187035]
498,[0.248395]
499,[0.09974]
500,[0.03843]
501,[0.044065]
502,[0.262835]
503,[0.105165]
504,[0.12797]
505,[0.059825]
506,[0.111405]
507,[0.28312]
508,[0.179725]
509,[0.07387]
510,[0.06801]
511,[0.0784]
