,label,z1,z2,split
0,THS,3.7807862758636475,2.2369558811187744,test
1,CSW,3.7079524993896484,-0.5497345328330994,test
2,TSS,3.4606504440307617,3.7845113277435303,test
3,CSH,8.116862297058105,2.967517614364624,test
4,TWH,4.827767848968506,6.321781635284424,test
5,CSS,3.4120569229125977,2.2417869567871094,test
6,CSW,3.2890608310699463,3.884082794189453,test
7,TWW,3.2338309288024902,3.2000725269317627,test
8,TSH,4.960692405700684,0.19985413551330566,test
9,TSH,4.760506629943848,4.551965236663818,test
10,TWH,5.588312149047852,1.5469143390655518,test
11,TSH,3.7506818771362305,0.984341025352478,test
12,TSH,5.9838175773620605,1.4101624488830566,test
13,THS,4.445870399475098,6.64185905456543,test
14,THW,3.821922779083252,0.36145538091659546,test
15,THW,3.061649799346924,4.198822498321533,test
16,CSS,2.5602529048919678,-1.069911003112793,test
17,TSH,3.470141649246216,1.2822319269180298,test
18,TSS,2.772045612335205,4.336706161499023,test
19,CSH,1.8194044828414917,5.770691871643066,test
20,TSS,6.732931137084961,4.443069934844971,test
21,THW,2.019989490509033,3.644282817840576,test
22,THS,7.944890022277832,0.8529468178749084,test
23,TWH,4.135325908660889,1.8092944622039795,test
24,CWH,5.128847599029541,2.6791272163391113,test
25,CSS,1.5051835775375366,4.869931221008301,test
26,THW,5.237001419067383,1.3159267902374268,test
27,TWW,4.673123359680176,2.6368064880371094,test
28,TSS,6.018826484680176,2.795948028564453,test
29,TSH,3.5728068351745605,5.703819274902344,test
30,CSS,5.308653831481934,5.145648002624512,test
31,THS,5.77291202545166,1.275469422340393,test
32,TSW,3.476243019104004,1.597851276397705,test
33,TSH,4.594761848449707,1.0127733945846558,test
34,TSH,5.574331760406494,3.6599695682525635,test
35,THS,5.107861518859863,3.1496083736419678,test
36,CSS,8.813178062438965,6.345673561096191,test
37,THW,3.252091884613037,1.9154157638549805,test
38,TSS,5.877205848693848,1.7646467685699463,test
39,TSS,3.534860134124756,0.4141181409358978,test
40,CSS,4.945520401000977,3.2385387420654297,test
41,TWH,3.3507089614868164,1.832165002822876,test
42,CSS,5.413677215576172,1.1087918281555176,test
43,TWW,2.9346745014190674,2.9361026287078857,test
44,TSS,1.8085118532180786,1.0402361154556274,test
45,TSH,6.013486862182617,2.207852602005005,test
46,THS,0.5520144104957581,4.294837951660156,test
47,TSS,4.352758884429932,0.9506844878196716,test
48,CWS,2.5330169200897217,5.007651329040527,test
49,CWS,1.3684537410736084,6.854067802429199,test
50,TSH,5.40610408782959,1.7468006610870361,test
51,TSS,3.893341541290283,4.026204586029053,test
52,TWW,3.8305091857910156,4.324134349822998,test
53,THW,3.3774938583374023,-0.05958336591720581,test
54,TWH,5.700325965881348,4.225645065307617,test
55,TWH,4.168063163757324,1.393710970878601,test
56,TSS,3.2269110679626465,4.189999580383301,test
57,THS,4.073651313781738,1.7236316204071045,test
58,CSS,3.556262493133545,-0.6370452642440796,test
59,TSH,5.911043643951416,5.268854141235352,test
60,TSH,2.1182382106781006,0.8348099589347839,test
61,TSS,1.5724400281906128,1.426615834236145,test
62,CWH,5.253589153289795,4.75848388671875,test
63,TWW,4.826017379760742,4.996519088745117,test
64,TWH,3.4457051753997803,0.09703555703163147,test
65,CSS,6.747068405151367,-0.5825939178466797,test
66,TWH,1.5360983610153198,1.2161659002304077,test
67,CSH,5.104954719543457,0.9078457355499268,test
68,TSS,3.5642189979553223,-0.13780029118061066,test
69,TSS,2.847738265991211,-1.1674513816833496,test
70,TSS,2.6746554374694824,1.6688514947891235,test
71,THS,7.109438419342041,4.019167900085449,test
72,TSH,5.240244388580322,-0.008753299713134766,test
73,TWH,3.1081643104553223,1.7874529361724854,test
74,CSW,6.233641147613525,0.9583428502082825,test
75,CSW,5.530437469482422,1.9462922811508179,test
76,TWH,1.7369487285614014,5.620420455932617,test
77,CSS,7.251291275024414,4.211662769317627,test
78,CWS,1.6782890558242798,-0.8452576994895935,test
79,CSS,5.19571590423584,3.4719138145446777,test
80,CSS,4.818559169769287,0.5636498928070068,test
81,CSS,5.208312511444092,1.7975711822509766,test
82,TSS,0.9588249921798706,4.393400192260742,test
83,TSW,7.257704257965088,1.9819276332855225,test
84,CSS,6.444675445556641,2.3920860290527344,test
85,TSS,3.677265167236328,5.451212406158447,test
86,CWS,1.5462009906768799,4.282780170440674,test
87,CWH,3.068685531616211,1.4017226696014404,test
88,TSS,2.5551302433013916,4.363961696624756,test
89,CSS,6.803491592407227,7.135043144226074,test
90,CSS,2.3288395404815674,4.887022495269775,test
91,THS,3.1824898719787598,0.9092810153961182,test
92,TSS,3.39740252494812,0.7353129386901855,test
93,TWS,2.554717779159546,0.40623992681503296,test
94,THW,6.0528764724731445,3.501279354095459,test
95,CWH,1.5578513145446777,2.4642751216888428,test
96,TSH,3.3726084232330322,1.9719324111938477,test
97,CSS,4.839628219604492,1.4226508140563965,test
98,CSW,2.112091302871704,-0.11076289415359497,test
99,TWH,4.977598667144775,2.6651270389556885,test
100,TSS,4.56588077545166,6.110633850097656,test
101,TSH,2.4825804233551025,2.5220413208007812,test
102,THW,4.256890773773193,3.211890935897827,test
103,CSS,-0.2502298355102539,6.322710990905762,test
104,THS,3.44573974609375,2.081249713897705,test
105,TSS,5.833009243011475,1.8708600997924805,test
106,THS,1.7403258085250854,0.8560939431190491,test
107,CWH,4.650996208190918,1.8954013586044312,test
108,CWS,7.989907741546631,7.432427406311035,test
109,CSS,-0.2562698721885681,6.51937198638916,test
110,TSS,1.7681317329406738,1.5446244478225708,test
111,THW,6.025130271911621,5.40914249420166,test
112,TSS,6.614414215087891,1.4488251209259033,test
113,TWH,3.0547690391540527,2.576277017593384,test
114,THS,3.574204444885254,3.1675705909729004,test
115,CSS,4.769039154052734,0.7520184516906738,test
116,CSH,5.148715972900391,-0.7232805490493774,test
117,TWH,2.4526689052581787,4.210826873779297,test
118,TSS,4.236262321472168,0.8410065770149231,test
119,CSS,1.6426501274108887,1.4898009300231934,test
120,CWH,6.996201515197754,2.2223024368286133,test
121,TSH,5.730304718017578,3.8696506023406982,test
122,TWS,3.4284210205078125,3.652677536010742,test
123,CSS,4.625805854797363,3.8449318408966064,test
124,THW,-0.18067383766174316,6.163699150085449,test
125,TSS,2.018519401550293,2.987987518310547,test
126,CSS,1.9834469556808472,3.677656650543213,test
127,TSH,4.562555313110352,3.416013479232788,test
128,THS,1.9753445386886597,0.6983376741409302,test
129,THW,3.127042293548584,2.7634730339050293,test
130,THW,0.889445960521698,-0.23363253474235535,test
131,CWH,2.8567214012145996,4.824392318725586,test
132,TSH,6.928234100341797,3.013136863708496,test
133,THS,1.7267680168151855,1.9705995321273804,test
134,THW,4.029903888702393,0.4419223666191101,test
135,TWH,2.0519189834594727,-0.35253313183784485,test
136,TWH,4.10661506652832,2.61083984375,test
137,TSH,5.639680862426758,3.7156338691711426,test
138,TSH,4.506407737731934,2.252383232116699,test
139,CWS,4.045290470123291,1.8087981939315796,test
140,CSS,4.1981000900268555,0.19482997059822083,test
141,CWH,1.5815155506134033,5.7520904541015625,test
142,TSH,4.886598587036133,4.14210844039917,test
143,CSS,1.107581615447998,5.753368377685547,test
144,CSS,4.394176483154297,2.6476986408233643,test
145,TSS,5.269879341125488,1.1040678024291992,test
146,CSW,2.1353397369384766,0.9274446964263916,test
147,TSH,4.339876651763916,0.6564100384712219,test
148,TSW,4.665804862976074,-0.9427990913391113,test
149,TSS,1.758758306503296,4.700573921203613,test
150,CWH,4.9015212059021,0.09059169888496399,test
151,CWS,3.411954641342163,3.8365931510925293,test
152,CSS,2.175563335418701,3.208284378051758,test
153,TWS,4.121236324310303,2.5750789642333984,test
154,TSH,3.5224156379699707,1.9478771686553955,test
155,CSS,5.948473930358887,2.4633970260620117,test
156,TSS,4.281774520874023,1.901479959487915,test
157,CHW,3.093780279159546,1.620008945465088,test
158,CSS,3.2688000202178955,1.4482736587524414,test
159,CSH,6.8339104652404785,5.871791839599609,test
160,TSH,3.9515860080718994,1.8585199117660522,test
161,TSW,1.8217518329620361,3.638078451156616,test
162,CSS,3.464463949203491,-0.023782670497894287,test
163,TSW,2.4744930267333984,1.233919620513916,test
164,TSS,2.7930376529693604,3.3991832733154297,test
165,THH,5.317557334899902,2.1405186653137207,test
166,CWH,3.2292981147766113,2.9467673301696777,test
167,THS,2.5566043853759766,2.637645721435547,test
168,CHS,2.6974172592163086,5.006112575531006,test
169,TWS,1.3229176998138428,0.6381484866142273,test
170,TSH,3.689774990081787,2.998363733291626,test
171,TSW,3.4024338722229004,4.98570442199707,test
172,CSH,2.0434176921844482,3.4417612552642822,test
173,CSW,4.003715515136719,2.5557308197021484,test
174,CSS,4.589466094970703,1.0896155834197998,test
175,THW,2.2063844203948975,0.30512481927871704,test
176,CHS,2.6974174976348877,5.0061116218566895,test
177,TSS,4.14053201675415,4.988429069519043,test
178,THW,3.6621017456054688,4.062641620635986,test
179,TWH,5.374408721923828,0.15622323751449585,test
180,THW,3.1583797931671143,6.054779529571533,test
181,CSH,3.593233108520508,4.343525409698486,test
182,TSH,5.80907678604126,1.7849490642547607,test
183,TSS,7.6828155517578125,2.47088623046875,test
184,CSW,0.8748430013656616,0.6756088733673096,test
185,CSH,2.4939701557159424,0.2514649033546448,test
186,CSS,2.214357614517212,3.7802000045776367,test
187,CSS,5.435056686401367,-0.06432151794433594,test
188,CWH,2.4937920570373535,3.7951300144195557,test
189,TWH,4.777072429656982,2.756507158279419,test
190,TWH,6.423023223876953,4.946671009063721,test
191,TSS,3.7938623428344727,2.9102959632873535,test
192,CWH,5.402397632598877,4.447478294372559,test
193,TWH,5.535188674926758,2.427272319793701,test
194,TWW,5.498823642730713,3.787384510040283,test
195,THW,6.0017991065979,3.79119873046875,test
196,CSW,2.5615408420562744,1.3386441469192505,test
197,CSS,4.356019496917725,-0.24341261386871338,test
198,TSH,5.153176307678223,1.4485013484954834,test
199,CSH,0.41344720125198364,2.645768880844116,test
200,CWH,5.738606929779053,2.6609795093536377,test
201,TWH,5.772309303283691,1.7141969203948975,test
202,TSH,3.973015308380127,1.9196478128433228,test
203,TWH,6.391472339630127,1.449731707572937,test
204,TSW,3.366851329803467,4.249085426330566,test
205,CWH,3.4521422386169434,0.5607409477233887,test
206,CSS,1.4472301006317139,3.118440628051758,test
207,THS,4.80142879486084,0.6408355236053467,test
208,TSH,3.771951198577881,0.591674268245697,test
209,TWH,2.5430610179901123,2.2458481788635254,test
210,CSS,5.468520641326904,0.4188111424446106,test
211,TSH,4.0384440422058105,0.17540323734283447,test
212,TSH,1.543370246887207,0.9690325856208801,test
213,CWH,6.073855400085449,1.037304162979126,test
214,TSW,5.300862789154053,1.446016550064087,test
215,CSS,4.3028564453125,-1.7936874628067017,test
216,CWH,3.0560455322265625,2.8500285148620605,test
217,TSS,4.5234456062316895,3.528496265411377,test
218,CSH,5.687314510345459,4.039107322692871,test
219,CSH,6.376141548156738,-1.8135020732879639,test
220,CSS,3.5820322036743164,1.1023855209350586,test
221,TSS,4.311417102813721,2.7104225158691406,test
222,CWS,4.053528785705566,2.6983985900878906,test
223,CSW,4.767215728759766,2.8661341667175293,test
224,CSS,4.995297908782959,2.322383165359497,test
225,THS,3.9476892948150635,0.1789427399635315,test
226,THS,1.693751335144043,2.681377649307251,test
227,CWS,0.5241463780403137,2.4847795963287354,test
228,TSH,3.7957425117492676,3.3227391242980957,test
229,CSS,0.9446717500686646,2.915055274963379,test
230,CWH,1.2146251201629639,0.5008944869041443,test
231,TSW,5.783604621887207,2.6306891441345215,test
232,TSH,6.093673229217529,1.042029619216919,test
233,CHW,6.034083366394043,2.3856868743896484,test
234,THS,4.5318756103515625,-0.36230137944221497,test
235,TSS,4.923982620239258,-0.7724384665489197,test
236,CSW,5.311309814453125,1.6648144721984863,test
237,THW,0.8588564991950989,2.1809630393981934,test
238,THW,5.14250373840332,1.1251132488250732,test
239,THS,8.226354598999023,-0.8126258850097656,test
240,TSS,0.5820523500442505,2.0975699424743652,test
241,CSS,3.9726319313049316,-0.3653062880039215,test
242,TSH,1.0162427425384521,2.640965700149536,test
243,CWH,4.24609375,4.9543867111206055,test
244,TWS,1.3940322399139404,3.2774252891540527,test
245,THS,4.17470645904541,2.041651725769043,test
246,TWH,4.800278663635254,2.3272864818573,test
247,TWH,2.7411623001098633,4.457873344421387,test
248,THS,2.2338531017303467,-1.5009543895721436,test
249,TSW,5.914941787719727,-0.2834134101867676,test
250,TSS,0.8796533346176147,4.082379341125488,test
251,THS,6.074741363525391,2.6329641342163086,test
252,CWH,2.3379106521606445,1.2159881591796875,test
253,CSS,3.0194783210754395,2.4358153343200684,test
254,CWH,2.4032320976257324,2.799293041229248,test
255,THS,7.263424873352051,-0.11744631826877594,test
256,THS,2.86698579788208,5.167933940887451,test
257,CSH,7.398247718811035,1.4293115139007568,test
258,TWH,5.9868574142456055,4.487722396850586,test
259,CWH,1.9383723735809326,3.161057710647583,test
260,TWH,6.816805839538574,3.2294118404388428,test
261,CWS,8.218687057495117,4.037874221801758,test
262,TWH,2.9018871784210205,2.6173765659332275,test
263,CSW,3.3344955444335938,0.1919124722480774,test
264,TSS,-0.41303551197052,4.730014801025391,test
265,CSH,5.839156150817871,0.319044828414917,test
266,CWS,4.344674110412598,1.5928095579147339,test
267,THW,3.1656365394592285,4.161424160003662,test
268,THW,1.664043664932251,3.260756492614746,test
269,CSS,2.1423749923706055,1.9934351444244385,test
270,CWH,5.264522075653076,1.9761024713516235,test
271,TWH,1.5493004322052002,4.45444917678833,test
272,TSH,1.405493140220642,0.5440570116043091,test
273,CSS,3.623600482940674,-1.3228340148925781,test
274,TSS,2.568175792694092,-0.2646034359931946,test
275,TWW,2.052576780319214,4.976048469543457,test
276,CWS,3.183185577392578,1.0141897201538086,test
277,TSH,1.7450664043426514,-1.704442024230957,test
278,CSS,1.1445319652557373,1.2212756872177124,test
279,TWH,8.5662841796875,4.958127021789551,test
280,CSH,3.535344123840332,1.5375303030014038,test
281,TWW,5.929947376251221,-0.6353365182876587,test
282,TSS,2.778083562850952,0.9664429426193237,test
283,CSH,3.375680685043335,2.0949654579162598,test
284,CWS,3.976200580596924,3.4581007957458496,test
285,THS,4.258403778076172,2.6147515773773193,test
286,CWH,1.1105153560638428,0.21043217182159424,test
287,CSS,3.0189499855041504,1.9877076148986816,test
288,CWS,4.401700496673584,3.818603754043579,test
289,CSS,2.1370606422424316,3.9053914546966553,test
290,TSH,2.636793613433838,0.7296324968338013,test
291,TSS,5.905467987060547,0.0038413405418395996,test
292,CSS,4.017012119293213,1.8031431436538696,test
293,CSW,3.0902695655822754,2.016629934310913,test
294,CSS,6.247550964355469,1.6343697309494019,test
295,TSH,2.2011499404907227,3.1838300228118896,test
296,TSW,5.118247032165527,4.577012062072754,test
297,CSH,2.0626840591430664,5.212241172790527,test
298,CWS,2.3683927059173584,-0.6869559288024902,test
299,THW,3.3648672103881836,3.914461135864258,test
300,CSH,3.7214725017547607,0.040281087160110474,test
301,CWS,2.4217073917388916,2.9032678604125977,test
302,CWS,5.373447895050049,2.2058796882629395,test
